cue,target,thisN,thisTrialN,thisRepN,end_guess.keys,guess_reached.keys,end_encoding.keys,guess_reached.rt,guess_reached.duration,end_cued_recall.keys,recall_reached.keys,recall_selection.keys,recall_reached.rt,recall_reached.duration,recall_selection.rt,recall_selection.duration,list_item,kind,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,break_resp.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,test_practice_trials.thisRepN,test_practice_trials.thisTrialN,test_practice_trials.thisN,test_practice_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,semantic_mapping.thisRepN,semantic_mapping.thisTrialN,semantic_mapping.thisN,semantic_mapping.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,iti_learning_practice.started,ISI_4.started,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,feedback_guess.stopped,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,practice_trials.guess_reached.rt,practice_trials.guess_reached.duration,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,ISI.started,iti_learning.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,learning_trials.guess_reached.rt,learning_trials.guess_reached.duration,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall.started,recall_instructions_text.started,recall_instructions_key.started,instructions_recall.stopped,recall_instructions_key.keys,recall_instructions_key.rt,recall_instructions_key.duration,iti_recall.started,ISI_2.started,iti_recall.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,cued_recall.stopped,test_practice_trials.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,dash_stim_recall_resp.stopped,cue_stim_recall_resp.stopped,recall_stim_resp.stopped,recall_question.stopped,recall_reached.stopped,recall_response.stopped,test_practice_trials.recall_reached.keys,recall_select.started,recall_select.stopped,test_practice_trials.recall_selection.keys,test_practice_trials.recall_reached.rt,test_practice_trials.recall_reached.duration,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,test_practice_trials.recall_selection.rt,test_practice_trials.recall_selection.duration,test_trials.end_cued_recall.keys,test_trials.recall_reached.keys,test_trials.recall_reached.rt,test_trials.recall_reached.duration,test_trials.recall_selection.keys,test_trials.recall_selection.rt,test_trials.recall_selection.duration,end_part2.started,end_part2_key.started,end_part2_text.started,end_part2.stopped,end_part2_key.keys,end_part2_key.rt,end_part2_key.duration,instructions_semantic_mapping.started,sm_instructions_text.started,sm_instructions_key.started,instructions_semantic_mapping.stopped,sm_instructions_key.keys,sm_instructions_key.rt,sm_instructions_key.duration,iti_mapping.started,ISI_3.started,iti_mapping.stopped,item.started,semantic_map_item.started,living_nonliving.started,end_mapping.started,licing_nonliving_text.started,item.stopped,semantic_mapping.living_nonliving.keys,semantic_mapping.living_nonliving.rt,semantic_mapping.living_nonliving.duration,semantic_mapping.end_mapping.keys,mapping_break.started,mapping_break.stopped,semantic_mapping.break_resp.keys,semantic_map_item.stopped,living_nonliving.stopped,end_mapping.stopped,licing_nonliving_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029735799995251,0.051591600058600307,3.006842900067568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0068918000906706,3.0182428000262007,3.0182428000262007,69.23278560000472,space,66.17360109998845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.23283660004381,69.25252550002187,69.25252550002187,103.21977940003853,space,33.964497399982065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.21983840002213,103.22991970006842,103.22991970006842,137.19705650000833,space,33.963838200084865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.19711110007484,137.2074190999847,137.2074190999847,151.0316010999959,space,13.814156899927184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Hund,Ball,0,0,0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,151.0532676000148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.03740160004236,0.005790899973362684,153.02768490009475,153.02981520001777,153.02986100001726,None,153.031258800067,153.03129950002767,None,153.0313238000963,153.03134330001194,153.03396140004043,153.05275030003395,153.05275030003395,153.05275030003395,153.05275030003395,159.0422521000728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Frühstück,Brot,1,1,0,None,h,None,2.1247172000585124,0.16970410000067204,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,159.05321400007233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.04246330005117,0.011141899973154068,161.03250209998805,161.0366517000366,167.04201400000602,None,167.0440144999884,170.04234080004971,h,170.0424187000608,170.04245200008154,170.04550650005694,170.0651588999899,170.0651588999899,170.0651588999899,170.0651588999899,176.0534754000837,None,161.05405610008165,161.05405610008165,161.05405610008165,161.05405610008165,167.0650830999948,167.0650830999948,167.0650830999948,167.0650830999948,167.0650830999948,2.1247172000585124,0.16970410000067204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Park,Baum,2,2,0,None,None,None,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,176.06439010007307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0537258000113,0.011297499993816018,178.0433962000534,178.04550520004705,178.04555260005873,None,178.0470225000754,178.0470657000551,None,178.047093900037,178.04711180005688,178.0498731000116,178.06509640009608,178.06509640009608,178.06509640009608,178.06509640009608,184.05312779999804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Haus,Fenster,3,3,0,None,g,None,2.570791400037706,0.1637406999943778,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,184.06477340008132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0533274000045,0.006236399989575148,186.04359960008878,186.04542880004738,192.05420520005282,None,192.05585650005378,195.05299870006274,g,195.05307090003043,195.05309270008001,195.05574990005698,195.06364489998668,195.06364489998668,195.06364489998668,195.06364489998668,201.0539261000231,None,186.06551099999342,186.06551099999342,186.06551099999342,186.06551099999342,192.06380130001344,192.06380130001344,192.06380130001344,192.06380130001344,192.06380130001344,2.570791400037706,0.1637406999943778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.05404970003292,201.06476520001888,201.06476520001888,236.59875760006253,space,35.52453830000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
